,method,rmse,bias,comp_time,data
0,twfe,4.228138994490156,-0.0737557837064817,0.1380369663238525,1
1,knn,11.488058866089997,-10.461956217907291,0.0352718830108642,1
2,dml,5.639953159611526,-3.024059799286349,0.3773000240325928,1
3,cf,2.516005065790546,0.3207722241428876,1.3468480110168457,1
4,nn,3.165369151513981,0.0787640202997889,12.390005111694336,1
5,gan,14.267893357400414,13.015439969396466,3.208778142929077,1
6,twfe,3.342584683455684,-0.2977956814140783,0.6078319549560547,2
7,knn,10.824544080631776,-10.44953248793259,0.1738150119781494,2
8,dml,1.5723912394407895,-0.9158597679217582,1.127755641937256,2
9,cf,1.642559396766606,-0.3481768588087874,16.433057069778442,2
10,nn,0.8284690968086894,0.5220948869489968,42.59302878379822,2
11,gan,13.608764878736794,12.54322813813918,3.5003790855407715,2
12,twfe,3.1546811460978432,-0.1157084749683729,5.221404075622559,3
13,knn,10.959784661989916,-10.642636333627568,3.803875207901001,3
14,dml,0.7606754939293641,-0.0985355937559776,7.763712882995605,3
15,cf,0.6661509416819077,-0.1895417711547081,289.4599907398224,3
16,nn,2.4264306632228974,-2.197697139643617,237.67595100402832,3
17,gan,12.438460162625042,11.41871325883966,4.025306940078735,3
18,twfe,10.890075695265889,-4.9741750020897415,0.0974347591400146,4
19,knn,25.59314243194366,-23.549375018212185,0.0520529747009277,4
20,dml,12.321538098830782,-8.14948745348445,0.36452317237854,4
21,cf,3.334081175334547,-0.548294138940312,1.307943344116211,4
22,nn,10.384841625243796,-7.610350716236138,10.612552881240845,4
23,gan,4.548365724192193,0.3567801903457397,3.4581081867218018,4
24,twfe,5.597632359658043,-0.6288164868772174,0.4833180904388428,5
25,knn,21.472620476320493,-20.65945961660934,0.1706149578094482,5
26,dml,2.046629345607112,-1.8213762793858064,0.994163990020752,5
27,cf,2.5499114436884978,-0.3707228891198887,16.624838829040527,5
28,nn,0.5574361161175522,0.1375591984638583,41.76882815361023,5
29,gan,4.690378221351663,3.638966220940055,3.472083806991577,5
30,twfe,6.029682531499357,-0.6271306584732685,4.89112401008606,6
31,knn,22.75545733023426,-21.79592395659496,3.8486270904541016,6
32,dml,1.5522722666163349,-1.4450952825220489,8.085540056228638,6
33,cf,1.7948232465259475,-0.9191503324089269,266.0792279243469,6
34,nn,2.592000239745697,-2.433006443009556,250.50491094589236,6
35,gan,2.8899446717608006,2.12210102654916,4.189212322235107,6
36,twfe,14.506092323979754,10.79114277071741,0.0958421230316162,7
37,knn,17.14762331772204,-11.239549289621472,0.0442869663238525,7
38,dml,8.243930196020738,-3.537103339301949,0.3422536849975586,7
39,cf,11.438154800796292,7.730210095342521,1.327848196029663,7
40,nn,5.632924907555171,2.6177087957835483,17.039246082305908,7
41,gan,23.069539333571427,12.33787137877706,3.3061399459838867,7
42,twfe,6.645501115456642,-0.2454761975477963,0.5543627738952637,8
43,knn,21.00551219092624,-18.81931258940457,0.147845983505249,8
44,dml,2.7013900658135137,-0.8453482722669201,1.094740867614746,8
45,cf,3.557160729163895,0.7187703254831785,13.210855960845947,8
46,nn,4.602742718435268,3.057669151745076,46.071030139923096,8
47,gan,13.256048353247964,3.464829090557332,3.3986058235168457,8
48,twfe,7.322553933873854,-1.0584928081009162,4.865247249603272,9
49,knn,23.0629209938726,-21.06341865036531,3.5099761486053467,9
50,dml,2.7170054211087016,-0.3071793205763507,8.083971738815308,9
51,cf,3.874480693958645,0.6057499702172265,249.26293087005612,9
52,nn,1.8411345582791372,-1.2070035795272065,270.192440032959,9
53,gan,12.452564433745817,0.8357876916825105,4.100931167602539,9
