delta,n,rmse,bias,comp_time
1,25,3.165369151513981,0.0787640202997889,12.390005111694336
1,250,0.8284690968086894,0.5220948869489968,42.59302878379822
1,2500,2.4264306632228974,-2.197697139643617,237.67595100402832
2,25,10.384841625243796,-7.610350716236138,10.612552881240845
2,250,0.5574361161175522,0.1375591984638583,41.76882815361023
2,2500,2.592000239745697,-2.433006443009556,250.50491094589236
3,25,5.632924907555171,2.6177087957835483,17.039246082305908
3,250,4.602742718435268,3.057669151745076,46.071030139923096
3,2500,1.8411345582791372,-1.2070035795272065,270.192440032959
