ts_year,model,0
1900-01-01,twfe,7.282199620855333
1901-01-01,twfe,7.380027913331064
1902-01-01,twfe,5.559032719346164
1903-01-01,twfe,6.470670463053805
1904-01-01,twfe,5.090120909275728
1905-01-01,twfe,6.084699449565024
1906-01-01,twfe,7.088381621221242
1907-01-01,twfe,6.372023410359947
1908-01-01,twfe,6.345632008833182
1909-01-01,twfe,6.492020480111542
1910-01-01,twfe,7.068446235039836
1911-01-01,twfe,7.417163202697836
1912-01-01,twfe,6.823948082610541
1913-01-01,twfe,5.714621457658989
1914-01-01,twfe,5.922456949571038
1915-01-01,twfe,6.196130107612263
1916-01-01,twfe,5.980784359726424
1917-01-01,twfe,7.917311967056159
1918-01-01,twfe,6.009060611146485
1919-01-01,twfe,7.159239666829334
1920-01-01,twfe,6.899582693626541
1921-01-01,twfe,6.819454254461768
1922-01-01,twfe,5.714472068152616
1923-01-01,twfe,4.659495005779739
1924-01-01,twfe,6.484751993639741
1925-01-01,twfe,6.551056818551748
1926-01-01,twfe,7.644238354962074
1927-01-01,twfe,5.612493880427306
1928-01-01,twfe,6.879217150888559
1929-01-01,twfe,5.628186164529678
1930-01-01,twfe,6.269754033305744
1931-01-01,twfe,7.300778496273773
1932-01-01,twfe,7.920924101038902
1933-01-01,twfe,11.360911590370549
1934-01-01,twfe,7.059479941045107
1935-01-01,twfe,7.897841716094514
1936-01-01,twfe,6.87265424719177
1937-01-01,twfe,7.470678480340798
1938-01-01,twfe,8.182306286905812
1939-01-01,twfe,8.903275594773303
1940-01-01,twfe,6.3121421276967125
1941-01-01,twfe,6.70609191130528
1942-01-01,twfe,7.245421082188273
1943-01-01,twfe,6.724335398338555
1944-01-01,twfe,7.857579311297554
1945-01-01,twfe,5.921180469119745
1946-01-01,twfe,4.5966479127923705
1947-01-01,twfe,10.471787215679711
1948-01-01,twfe,7.015973775017307
1949-01-01,twfe,7.5211130441298275
1950-01-01,twfe,5.860323517100174
1951-01-01,twfe,6.524789347247262
1952-01-01,twfe,10.534226964900155
1953-01-01,twfe,10.505007162505848
1954-01-01,twfe,13.528398947100195
1955-01-01,twfe,12.446896109592215
1956-01-01,twfe,8.331070791455117
1957-01-01,twfe,13.220048432354133
1958-01-01,twfe,10.363462209934585
1959-01-01,twfe,8.787966126414942
1960-01-01,twfe,9.323614773651396
1961-01-01,twfe,9.291335805246172
1962-01-01,twfe,11.140832754194799
1963-01-01,twfe,9.887264159067715
1964-01-01,twfe,20.387831072532475
1965-01-01,twfe,4.442818498280612
1966-01-01,twfe,7.334267295796574
1967-01-01,twfe,11.583723791882566
1968-01-01,twfe,8.185405536560731
1969-01-01,twfe,9.400616931706688
1970-01-01,twfe,14.79293465680515
1971-01-01,twfe,16.37181988362332
1972-01-01,twfe,14.336985553790395
1973-01-01,twfe,9.873870618300847
1974-01-01,twfe,13.39576092485811
1975-01-01,twfe,11.750992076426751
1976-01-01,twfe,13.768892873535846
1977-01-01,twfe,9.325290267562393
1978-01-01,twfe,16.8030741072431
1979-01-01,twfe,21.913737108653677
1980-01-01,twfe,9.037475563986296
1981-01-01,twfe,10.525004634189687
1982-01-01,twfe,23.15745746913268
1983-01-01,twfe,18.511158779526713
1984-01-01,twfe,14.849717294995903
1985-01-01,twfe,17.77399384901915
1986-01-01,twfe,15.402973649908237
1987-01-01,twfe,19.202372510175888
1988-01-01,twfe,13.092876649248263
1989-01-01,twfe,17.916449805328575
1990-01-01,twfe,15.790087921723257
1991-01-01,twfe,16.362885003663074
1992-01-01,twfe,21.519795129508818
1993-01-01,twfe,21.098625513254817
1994-01-01,twfe,25.556648986899035
1995-01-01,twfe,23.132731447228576
1996-01-01,twfe,21.489610512403246
1997-01-01,twfe,13.795978103943943
1998-01-01,twfe,16.287716878045412
1999-01-01,twfe,18.536773463639598
